epoch,train_acc,test_acc,train_loss,test_loss
1,0.36283076923076923,0.33672,0.08164842954782339,0.09897198125898839
2,0.759676923076923,0.72368,0.012875611788951434,0.015716091667413713
3,0.8528769230769231,0.79816,0.006906778425436753,0.00999248888462782
4,0.820923076923077,0.77096,0.008595899703869453,0.010734991001486779
5,0.7115846153846154,0.67,0.013997065472602844,0.01679132677078247
6,0.7709846153846154,0.74144,0.011586163822962688,0.014142616802155972
7,0.8549384615384615,0.77784,0.008126349413394927,0.0158391494089365
8,0.7514,0.65528,0.01947493549172695,0.03244691676080227
9,0.9021230769230769,0.8416,0.004358884704800753,0.00835614380031824
10,0.9053384615384615,0.83488,0.0043220050384218875,0.008461672978699207
11,0.8872307692307693,0.80944,0.005179042702397475,0.01046081656217575
12,0.8748615384615385,0.81272,0.006100033858533089,0.010890891262441874
13,0.8839076923076923,0.82392,0.005149705993097562,0.009944645783603191
14,0.9174923076923077,0.8492,0.0036730270149616094,0.008809197162985801
15,0.9031692307692307,0.8356,0.004555164368737203,0.010040301506221294
16,0.9282769230769231,0.86216,0.0032158356494055343,0.007041596397906542
17,0.9089692307692308,0.83296,0.004107772154246386,0.009232090216577053
18,0.6493846153846153,0.60152,0.0376920392036438,0.04841946382641792
19,0.9458769230769231,0.87368,0.002341805311808219,0.007123818454146385
20,0.8934307692307693,0.78912,0.005497305249680694,0.013565058484375477
21,0.9214461538461538,0.84856,0.003663161896197842,0.008575274046212434
22,0.8759384615384616,0.796,0.00929446441072684,0.01798140227779746
23,0.9314,0.86344,0.0031343333741793264,0.007282103643119335
24,0.9533692307692307,0.87832,0.0020422816147884497,0.0064951540316641335
25,0.9548307692307693,0.87792,0.002032482512982992,0.006662458070069551
26,0.9119076923076923,0.83104,0.004529877617267462,0.011886123383939266
27,0.9499846153846154,0.84936,0.002163677581055806,0.009359612171649934
28,0.9125384615384615,0.82288,0.004897075955340496,0.013570847352445126
29,0.9234,0.83168,0.0035514374650441683,0.011557167078256606
30,0.9710307692307693,0.8744,0.001315866860976586,0.00777453663289547
