epoch,train_acc,test_acc,train_loss,test_loss
1,0.7231538461538461,0.64736,0.012887772414775995,0.01752677803039551
2,0.798923076923077,0.71824,0.00949064022210928,0.014338200905323029
3,0.846276923076923,0.77112,0.0074002322412454165,0.012101534149646759
4,0.8522153846153846,0.78072,0.00697952571098621,0.011385370898246766
5,0.8839846153846154,0.78064,0.005485958107274312,0.011620780217647552
6,0.9044153846153846,0.79176,0.004624057704210281,0.011480068047046661
7,0.9233230769230769,0.796,0.003692979823052883,0.011668679243326187
8,0.9281384615384616,0.79352,0.0033176752673891876,0.011483445432186127
9,0.9392615384615385,0.79408,0.0027739594891094243,0.012412639799118042
10,0.9459076923076923,0.79464,0.002436279986254298,0.013074889688491822
11,0.9595230769230769,0.782,0.0018783906625727048,0.01479254652261734
12,0.9669846153846153,0.77512,0.001538294864933078,0.0162341202378273
13,0.9785230769230769,0.80128,0.0010359385760930868,0.01509991004705429
14,0.9759846153846153,0.78512,0.0011216936794897685,0.01745634373664856
15,0.9782153846153846,0.78344,0.0009540380962193012,0.01770775090932846
16,0.9869384615384615,0.79744,0.0006371441792696715,0.017056134798526763
17,0.9841538461538462,0.79072,0.0007064251139473457,0.01898557251691818
18,0.9837076923076923,0.79048,0.0007735566375777125,0.019118107838630678
19,0.9911538461538462,0.78328,0.00043772421592416674,0.020460833270549775
20,0.9887230769230769,0.79224,0.0005106958359336624,0.0193811878490448
21,0.9917076923076923,0.79768,0.0004006918352742035,0.019665533814430237
22,0.9960153846153846,0.79664,0.00023450733152791285,0.01916437611579895
23,0.9927230769230769,0.78368,0.0003358486984713146,0.02181279773712158
24,0.995,0.79368,0.0002456864282560463,0.02154823073387146
25,0.9956,0.79984,0.0002179170373433198,0.020364581487178804
26,0.9958,0.78896,0.0002197597877552303,0.021448053345680236
27,0.9896,0.778,0.0004415972341460964,0.02421370985507965
28,0.9928461538461538,0.78808,0.0003265098957129969,0.022582296476364137
29,0.9955384615384615,0.78944,0.00021694417046920324,0.022896438319683073
30,0.9921384615384615,0.77584,0.00037025984233030333,0.0249389559173584
