epoch,train_acc,test_acc,train_loss,test_loss
1,0.8293692307692307,0.77968,0.008249969831567543,0.010939275116920472
2,0.8281846153846154,0.75104,0.008049675388290331,0.012401625385284424
3,0.8450923076923077,0.78216,0.007408914883778646,0.010915641431808471
4,0.8965538461538461,0.83168,0.0048714744079571505,0.008250920157432557
5,0.9131846153846154,0.83832,0.004092858835653617,0.008210834829807282
6,0.9289692307692308,0.84656,0.003322521037321824,0.0077498864185810085
7,0.9217692307692308,0.8308,0.003576256943666018,0.008611539257764816
8,0.9530307692307692,0.84296,0.002266145281235759,0.008568594843149185
9,0.9465538461538462,0.8392,0.002436714506951662,0.008920655435323716
10,0.9690307692307693,0.85136,0.0014747425009568151,0.00954374898672104
11,0.9564923076923076,0.83848,0.001954107905551791,0.01000856784105301
12,0.9796615384615385,0.8496,0.0010158599260191505,0.01015289942264557
13,0.9804615384615385,0.84792,0.000922601485811174,0.011341804695129394
14,0.9750615384615384,0.84248,0.001169409836549312,0.011563194721937179
15,0.9876923076923076,0.84776,0.0006039384989282833,0.011921052943468093
16,0.9804153846153846,0.83968,0.0009171650946785051,0.012468632054328918
17,0.9898615384615385,0.84656,0.0005075884439839193,0.012611805115938186
18,0.9888923076923077,0.84536,0.0005169899573549628,0.013281761249303818
19,0.9892307692307692,0.84248,0.0005214721951812793,0.013715630067586899
20,0.9929692307692307,0.84312,0.0003482364684522438,0.014015999935865402
21,0.9876,0.84432,0.0005517809982948865,0.014718520925045013
22,0.9910461538461538,0.84432,0.0004577214078547863,0.014587218261957169
23,0.9900769230769231,0.8304,0.0004805536158669453,0.016643224401473998
24,0.9923846153846154,0.83232,0.00035618715797676345,0.014779987487792969
25,0.9894461538461539,0.84792,0.0005027807484219711,0.014111048413515091
26,0.9957538461538461,0.85408,0.00020967409076043763,0.014807172012329102
27,0.9939846153846154,0.84072,0.00027425749655812977,0.015390890893936157
28,0.9939230769230769,0.834,0.00027116971207209506,0.017525251581668854
29,0.9884923076923077,0.83784,0.0005018652763844539,0.01642757047176361
30,0.9964923076923077,0.8488,0.00017783190208272293,0.014789369572997093
